Key Location,Province/State,Country/Region,Lat,Long,Max of Confirmed,Max of Deaths,Max of Recovered,Death-Rate
"Hebei, China",Hebei,China,39.549,116.1306,318,6,310,0.02
"Heilongjiang, China",Heilongjiang,China,47.862,127.7615,484,13,463,0.03
"Henan, China",Henan,China,33.882,113.614,1273,22,1250,0.02
"Hong Kong, China",Hong Kong,China,22.3,114.2,256,4,98,0.02
"Hubei, China",Hubei,China,30.9756,112.2707,67800,3133,58382,0.05
"Hunan, China",Hunan,China,27.6104,111.7088,1018,4,1014,0.00
"Idaho, US",Idaho,US,44.2405,-114.4788,23,0,0,0.00
"Illinois, US",Illinois,US,40.3495,-88.9861,585,5,2,0.01
"Indiana, US",Indiana,US,39.8494,-86.2583,86,2,0,0.02
"Inner Mongolia, China",Inner Mongolia,China,44.0935,113.9448,75,1,74,0.01
"Iowa, US",Iowa,US,42.0115,-93.2105,45,0,0,0.00
"Isle of Man, United Kingdom",Isle of Man,United Kingdom,54.2361,-4.5481,1,0,0,0.00
"Jiangsu, China",Jiangsu,China,32.9711,119.455,631,0,631,0.00
"Jiangxi, China",Jiangxi,China,27.614,115.7221,935,1,934,0.00
"Jilin, China",Jilin,China,43.6661,126.1923,93,1,92,0.01
"Kansas, US",Kansas,US,38.5266,-96.7265,44,1,0,0.02
"Kentucky, US",Kentucky,US,37.6681,-84.6701,47,2,1,0.04
"Liaoning, China",Liaoning,China,41.2956,122.6085,126,2,122,0.02
"Louisiana, US",Louisiana,US,31.1695,-91.8678,538,14,0,0.03
"Macau, China",Macau,China,22.1667,113.55,17,0,10,0.00
"Maine, US",Maine,US,44.6939,-69.3819,56,0,0,0.00
"Manitoba, Canada",Manitoba,Canada,53.7609,-98.8139,17,0,0,0.00
"Maryland, US",Maryland,US,39.0639,-76.8021,149,1,3,0.01
"Massachusetts, US",Massachusetts,US,42.2302,-71.5301,413,1,1,0.00
"Mayotte, France",Mayotte,France,-12.8275,45.1662,6,0,0,0.00
"Michigan, US",Michigan,US,43.3266,-84.5361,552,3,0,0.01
"Minnesota, US",Minnesota,US,45.6945,-93.9002,115,0,0,0.00
"Mississippi, US",Mississippi,US,32.7416,-89.6787,80,1,0,0.01
"Missouri, US",Missouri,US,38.4561,-92.2884,53,2,0,0.04
"Montana, US",Montana,US,46.9219,-110.4544,15,0,0,0.00
"Montserrat, United Kingdom",Montserrat,United Kingdom,16.7425,-62.1874,1,0,0,0.00
"Nebraska, US",Nebraska,US,41.1254,-98.2681,37,0,0,0.00
"Netherlands, Netherlands",Netherlands,Netherlands,52.1326,5.2913,2994,106,2,0.04
"Nevada, US",Nevada,US,38.3135,-117.0554,114,1,0,0.01
"New Brunswick, Canada",New Brunswick,Canada,46.5653,-66.4619,11,0,0,0.00
"New Caledonia, France",New Caledonia,France,-20.9043,165.618,2,0,0,0.00
"New Hampshire, US",New Hampshire,US,43.4525,-71.5639,44,0,0,0.00
"New Jersey, US",New Jersey,US,40.2989,-74.521,890,11,1,0.01
"New Mexico, US",New Mexico,US,34.8405,-106.2485,43,0,0,0.00
"New South Wales, Australia",New South Wales,Australia,-33.8688,151.2093,353,6,4,0.02
"New York, US",New York,US,42.1657,-74.9481,8310,42,0,0.01
"Newfoundland and Labrador, Canada",Newfoundland and Labrador,Canada,53.1355,-57.6604,4,0,0,0.00
"Ningxia, China",Ningxia,China,37.2692,106.1655,75,0,75,0.00
"North Carolina, US",North Carolina,US,35.6301,-79.8064,172,0,0,0.00
"North Dakota, US",North Dakota,US,47.5289,-99.784,19,0,0,0.00
"Northern Territory, Australia",Northern Territory,Australia,-12.4634,130.8456,3,0,0,0.00
"Nova Scotia, Canada",Nova Scotia,Canada,44.682,-63.7443,15,0,0,0.00
"Ohio, US",Ohio,US,40.3888,-82.7649,173,2,0,0.01
"Oklahoma, US",Oklahoma,US,35.5653,-96.9289,49,1,0,0.02
"Ontario, Canada",Ontario,Canada,51.2538,-85.3232,308,2,5,0.01
"Oregon, US",Oregon,US,44.572,-122.0709,114,3,0,0.03
"Pennsylvania, US",Pennsylvania,US,40.5908,-77.2098,303,1,0,0.00
"Prince Edward Island, Canada",Prince Edward Island,Canada,46.5107,-63.4168,2,0,0,0.00
"Puerto Rico, US",Puerto Rico,US,18.2208,-66.5901,14,0,0,0.00
"Qinghai, China",Qinghai,China,35.7452,95.9956,18,0,18,0.00
"Quebec, Canada",Quebec,Canada,52.9399,-73.5491,139,1,0,0.01
"Queensland, Australia",Queensland,Australia,-28.0167,153.4,184,0,8,0.00
"Reunion, France",Reunion,France,-21.1351,55.2471,28,0,0,0.00
"Rhode Island, US",Rhode Island,US,41.6809,-71.5118,54,0,0,0.00
"Saint Barthelemy, France",Saint Barthelemy,France,17.9,-62.8333,3,0,0,0.00
"Saskatchewan, Canada",Saskatchewan,Canada,52.9399,-106.4509,20,0,0,0.00
"Shaanxi, China",Shaanxi,China,35.1917,108.8701,247,3,237,0.01
"Shandong, China",Shandong,China,36.3427,118.1498,762,7,748,0.01
"Shanghai, China",Shanghai,China,31.202,121.4491,371,3,326,0.01
"Shanxi, China",Shanxi,China,37.5777,112.2922,133,0,133,0.00
"Sichuan, China",Sichuan,China,30.6171,102.7103,541,3,536,0.01
"Sint Maarten, Netherlands",Sint Maarten,Netherlands,18.0425,-63.0548,1,0,0,0.00
"South Australia, Australia",South Australia,Australia,-34.9285,138.6007,50,0,3,0.00
"South Carolina, US",South Carolina,US,33.8569,-80.945,126,1,0,0.01
"South Dakota, US",South Dakota,US,44.2998,-99.4388,14,1,0,0.07
"St Martin, France",St Martin,France,18.0708,-63.0501,4,0,0,0.00
"Tasmania, Australia",Tasmania,Australia,-41.4545,145.9707,10,0,3,0.00
"Tennessee, US",Tennessee,US,35.7478,-86.6923,233,0,0,0.00
"Texas, US",Texas,US,31.0545,-97.5635,394,5,0,0.01
"Tianjin, China",Tianjin,China,39.3054,117.323,137,3,133,0.02
"Tibet, China",Tibet,China,31.6927,88.0924,1,0,1,0.00
"United Kingdom, United Kingdom",United Kingdom,United Kingdom,55.3781,-3.436,3983,177,65,0.04
"Utah, US",Utah,US,40.15,-111.8624,80,0,0,0.00
"Vermont, US",Vermont,US,44.0459,-72.7107,29,2,0,0.07
"Victoria, Australia",Victoria,Australia,-37.8136,144.9631,121,0,8,0.00
"Virgin Islands, US",Virgin Islands,US,18.3358,-64.8963,3,0,0,0.00
"Virginia, US",Virginia,US,37.7693,-78.17,122,2,0,0.02
"Washington, US",Washington,US,47.4009,-121.4905,1524,83,1,0.05
"West Virginia, US",West Virginia,US,38.4912,-80.9545,7,0,0,0.00
"Western Australia, Australia",Western Australia,Australia,-31.9505,115.8605,64,1,0,0.02
"Wisconsin, US",Wisconsin,US,44.2685,-89.6165,207,3,1,0.01
"Wyoming, US",Wyoming,US,42.756,-107.3025,19,0,0,0.00
"Xinjiang, China",Xinjiang,China,41.1129,85.2401,76,3,73,0.04
"Yunnan, China",Yunnan,China,24.974,101.487,176,2,172,0.01
"Zhejiang, China",Zhejiang,China,29.1832,120.0934,1234,1,1219,0.00
